Date,Symbol,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Issuance Payments Of Debt,Investing Cash Flow,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Change In Working Capital,Change In Inventory,Change In Receivables,Other Non Cash Items,Depreciation And Amortization,Net Income From Continuing Operations,Quarter,Year
2024-12-31,JNJ,4838000000.0,-2145000000.0,24105000000.0,19980000000.0,4323000000.0,-1340000000.0,1535000000.0,-1320000000.0,-1612000000.0,-1612000000.0,6983000000.0,798000000.0,-90000000.0,853000000.0,589000000.0,1896000000.0,3431000000.0,4,2024
2024-09-30,JNJ,5714000000.0,-2279000000.0,19980000000.0,24878000000.0,-5017000000.0,-9882000000.0,-7401000000.0,-3128000000.0,-1029000000.0,-1029000000.0,7993000000.0,1829000000.0,-299000000.0,-96000000.0,,1846000000.0,2694000000.0,3,2024
2024-06-30,JNJ,4657000000.0,-976000000.0,24878000000.0,25473000000.0,-510000000.0,7544000000.0,11543000000.0,-13687000000.0,-976000000.0,-976000000.0,5633000000.0,-452000000.0,-391000000.0,-884000000.0,,1782000000.0,4686000000.0,2,2024
2024-03-31,JNJ,2850000000.0,-807000000.0,25473000000.0,21859000000.0,3739000000.0,546000000.0,4374000000.0,-464000000.0,-807000000.0,-807000000.0,3657000000.0,-338000000.0,-348000000.0,-279000000.0,,1815000000.0,3255000000.0,1,2024
2023-12-31,JNJ,5804000000.0,-2059000000.0,21859000000.0,19728000000.0,2006000000.0,-4655000000.0,-1096000000.0,-1202000000.0,-1589000000.0,-1589000000.0,7863000000.0,3247000000.0,124000000.0,227000000.0,,1843000000.0,4049000000.0,4,2023
2023-09-30,JNJ,,,,,,,,,,,,,,,,,,3,2023
2023-06-30,JNJ,,,,,,,,,,,,,,,,,,2,2023
2025-03-31,MDT,2096000000.0,-476000000.0,1240000000.0,1394000000.0,-24000000.0,-1753000000.0,-1003000000.0,-843000000.0,-476000000.0,-476000000.0,2572000000.0,462000000.0,-200000000.0,-3000000.0,112000000.0,684000000.0,1303000000.0,1,2025
2024-12-31,MDT,554000000.0,-404000000.0,1394000000.0,1311000000.0,79000000.0,-534000000.0,557000000.0,-345000000.0,-404000000.0,-404000000.0,958000000.0,-1061000000.0,-61000000.0,-291000000.0,-89000000.0,675000000.0,1278000000.0,4,2024
2024-09-30,MDT,466000000.0,-520000000.0,1311000000.0,1284000000.0,-4000000.0,-731000000.0,2585000000.0,-259000000.0,-520000000.0,-520000000.0,986000000.0,-905000000.0,-217000000.0,110000000.0,-9000000.0,662000000.0,1049000000.0,3,2024
2024-06-30,MDT,2351000000.0,-426000000.0,1284000000.0,1623000000.0,-279000000.0,-2359000000.0,63000000.0,-696000000.0,-426000000.0,-426000000.0,2777000000.0,924000000.0,391000000.0,-251000000.0,308000000.0,654000000.0,660000000.0,2,2024
2024-03-31,MDT,2128000000.0,-346000000.0,1623000000.0,1311000000.0,268000000.0,-1500000000.0,-311000000.0,-707000000.0,-346000000.0,-346000000.0,2474000000.0,510000000.0,86000000.0,-23000000.0,83000000.0,649000000.0,1337000000.0,1,2024
2023-12-31,MDT,,,,,,,,,,,,,,,,,,4,2023
2023-09-30,MDT,,,,,,,,,,,,,,,,,,3,2023
2024-12-31,RMD,285154000.0,-23469000.0,521944000.0,426361000.0,124393000.0,-147538000.0,-5000000.0,-36692000.0,-20644000.0,-20644000.0,308623000.0,-114897000.0,-7641000.0,-67853000.0,,55902000.0,344622000.0,4,2024
2024-09-30,RMD,305931000.0,-19607000.0,426361000.0,238361000.0,176927000.0,-150757000.0,-30000000.0,2146000.0,-17840000.0,-17840000.0,325538000.0,-59400000.0,-70254000.0,36417000.0,,53710000.0,311355000.0,3,2024
2024-06-30,RMD,413791000.0,-26323000.0,238361000.0,237910000.0,322000.0,-393283000.0,-300000000.0,-46509000.0,-24881000.0,-24881000.0,440114000.0,57125000.0,8909000.0,-57523000.0,0.0,54755000.0,292236000.0,2,2024
2024-03-31,RMD,378922000.0,-23109000.0,237910000.0,210247000.0,32965000.0,-335914000.0,-220000000.0,-33152000.0,-21191000.0,-21191000.0,402031000.0,40814000.0,86199000.0,-56486000.0,0.0,54642000.0,300493000.0,1,2024
2023-12-31,RMD,248274000.0,-24558000.0,210247000.0,209100000.0,-7269000.0,-238958000.0,-130000000.0,-41143000.0,-23353000.0,-23353000.0,272832000.0,-43567000.0,50184000.0,-26803000.0,,53370000.0,208800000.0,4,2023
2023-06-30,RMD,,,,,,,,,,,,,,,,,,2,2023
2024-12-31,RXST,-5107000.0,-847000.0,17456000.0,17431000.0,36000.0,2976000.0,-12000.0,1320000.0,-847000.0,-847000.0,-4260000.0,-3570000.0,-408000.0,-4682000.0,,523000.0,-5938000.0,4,2024
2024-09-30,RXST,-453000.0,-1103000.0,17431000.0,25156000.0,-7732000.0,878000.0,-11000.0,-9260000.0,-1103000.0,-1103000.0,650000.0,1866000.0,-2396000.0,320000.0,,1141000.0,-6338000.0,3,2024
2024-06-30,RXST,-5550000.0,-1523000.0,25156000.0,33356000.0,-8199000.0,111473000.0,-11000.0,-115645000.0,-1523000.0,-1523000.0,-4027000.0,-2856000.0,-799000.0,-4172000.0,,820000.0,-6079000.0,2,2024
2024-03-31,RXST,-11276000.0,-1967000.0,33356000.0,10402000.0,22957000.0,7992000.0,-27000.0,24274000.0,-1967000.0,-1967000.0,-9309000.0,-4651000.0,-1390000.0,-1269000.0,,1140000.0,-9100000.0,1,2024
2023-12-31,RXST,-9892000.0,-1591000.0,10403000.0,10569000.0,-174000.0,3562000.0,-34000.0,4566000.0,-1591000.0,-1591000.0,-8301000.0,-3207000.0,1352000.0,-5037000.0,0.0,1084000.0,-9177000.0,4,2023
2023-09-30,RXST,,,,,,,,,,,,,,,4000.0,,,3,2023
2023-06-30,RXST,,,,,,,,,,,,,,,142000.0,,,2,2023
